,MIMAT0004494,MIMAT0000450,MIMAT0002171,MIMAT0000280,MIMAT0019880,MIMAT0002807,MIMAT0000318,MIMAT0000073,MIMAT0000099,MIMAT0003218,MIMAT0000254,MIMAT0000689,MIMAT0015066,MIMAT0014995,ML_tags
TCGA.BP.4967.01,1129.985957,5.6911368,1.6522192,58.1960592,0.9179964,1.1016317,150.3572939,31.9437286,7847.894779,40.5713396,334742.0425,30103.58523,1.1015785,4.0389303,1
TCGA.B4.5835.01,2496.943582,11.3757636,44.3956691,237.9376512,2.8438849,0.9480085,109.0163895,18.0114132,7598.977841,15.1673496,77044.38947,25805.98098,1.8960171,5.6878067,1
TCGA.DV.5565.01,2854.12334,8.1006929,3.8253858,116.7847989,0.2250155,1.3500702,132.9875077,15.0764814,17570.13334,47.2529435,262415.756,52041.62111,2.0251575,2.025136,1
TCGA.B0.4811.01,794.8129917,9.4332131,1.0781682,71.1555414,0.5390072,0.5390072,117.2454619,26.1440467,10180.13338,43.9329046,213317.3148,32587.50486,0.2695349,3.5039263,1
TCGA.CJ.5675.01,848.6032124,3.7370925,0.5338953,113.1829257,1.0678048,1.3346479,274.948432,9.609765,14937.8623,138.8072076,150769.9425,25705.98182,1.0676906,8.0081294,1
TCGA.CJ.6032.01,3531.439283,2.7168242,1.8112271,54.6383448,0.9055401,4.2260314,200.4369909,11.1687399,9634.348371,32.6003827,202836.4608,28375.12056,0.3018832,5.4333789,1
TCGA.CZ.5982.01,1229.002808,3.2496827,0.6499245,102.6874972,0.6499245,1.2997866,172.8775671,31.8466146,23333.38751,41.5946679,176823.4003,61743.1561,1.299849,3.8996072,1
TCGA.CJ.5679.01,2592.076244,16.7373848,5.8216683,39.2965408,0.7277566,2.1830283,94.6016318,8.0050454,10589.70066,176.8328285,90325.84586,42270.58061,2.1830283,125.063077,1
TCGA.BP.4989.01,1474.204699,5.7201351,0.5447785,198.2959276,2.1790595,1.089557,99.693862,37.3179986,7214.328983,30.7798332,191462.4914,20533.59538,1.0894863,3.2687095,1
TCGA.B2.5641.01,1766.642591,0.564932,0.564932,79.659219,1.694796,1.129921,153.668034,10.169209,9521.110439,61.016097,126902.4805,35317.26962,26.655209,9.039089,1
TCGA.B0.5705.01,515.5767585,2.1888929,1.0214633,50.2008294,0.729616,0.8755322,141.8442135,8.9018305,14971.60175,27.4350475,204921.1988,36645.04115,1.6051688,5.5454132,1
TCGA.B0.5697.01,1495.935827,2.7012005,76.5110131,118.8533474,1.0805757,3.2415056,229.6058058,7.0231716,8455.513256,51.8640815,178738.7249,34082.36262,1.0804563,5.4027228,1
TCGA.CW.5588.01,2474.414778,4.4816587,4.929868,85.1558123,1.792671,0.8963168,75.7445111,11.2046088,8814.387437,77.5375956,142890.5524,50407.79301,1.3444557,4.4819912,1
TCGA.BP.4959.01,2561.612572,2.9910559,1.709155,163.6542265,0.4273113,2.991196,317.4819124,26.065385,11379.52204,32.0479477,144367.7261,26814.36674,4.2728997,4.2730385,1
TCGA.BP.5001.01,1062.61905,5.5058412,0.5506153,72.6755634,1.284687,0.3670661,151.0405895,24.959435,12231.47594,18.3521223,333062.8618,57250.02836,4.4045514,5.3223678,1
TCGA.B0.5694.01,1225.067841,14.9632685,1.4116895,129.8726994,1.1293795,1.4117916,197.6323098,13.8343834,15082.60435,82.7223646,166113.6366,51772.7695,3.1056941,7.6229244,1
TCGA.BP.4971.01,1197.513866,12.77510601,2.77715503,74.42677502,1.11083096,1.66623027,171.0767613,18.88496344,9030.530534,52.76487996,77581.99385,29694.05062,6.66525,2.77715503,1
TCGA.B0.5696.01,556.7513037,4.4482755,0.2341348,42.3760952,0.4682696,0.7023173,87.7968935,10.5358322,10401.46319,30.2027944,240741.7031,48108.26914,0.7024044,3.980095,1
TCGA.CW.6097.01,2680.592432,14.88723408,0.827029591,109.1740905,0.827029591,2.481088772,85.19146321,12.40611331,8892.978219,63.68577869,95854.65127,35198.68422,0.827029591,5.789542286,1
TCGA.CZ.5456.01,2987.699802,3.678812,5.5183192,62.5403604,0.4598296,0.9197255,113.1260132,15.6354394,7624.425703,73.118849,81540.08557,30467.6871,0.4598296,6.437924,1
TCGA.BP.4968.01,1655.406085,4.8908461,1.3042544,136.6171503,3.2606007,0.9782161,183.5678229,31.9528836,9852.516836,43.3655903,286751.8148,50427.47591,2.6083886,6.8474113,1
TCGA.BP.4770.01,2422.93996,27.2500769,95.3732481,81.7483018,217.965417,3.9738963,3.9738468,16.463434,3007.131637,73.2331955,73400.11084,57642.90193,1.1355097,3.4061414,1
TCGA.CZ.5989.01,575.9254821,1.6819862,102.9843488,74.7233612,0.9611339,1.4416768,207.8321023,10.5717629,7786.114641,44.450508,206967.6887,39066.94162,1.4416505,3.3638968,1
TCGA.B0.5075.01,3901.32262,2.6967027,195.2127202,122.2599383,1.7978139,1.3484355,196.8715022,26.9678373,12203.42751,48.5424847,37855.75883,16986.05862,2.6968779,7.1914106,1
TCGA.BP.4992.01,1134.106125,6.8114154,1.9866281,145.3097737,0.2837818,1.4190742,201.5040688,16.1770449,14399.32301,43.7067664,147136.0637,49694.55635,5.6759776,4.8247161,1
TCGA.CZ.5467.01,1385.99473,10.65864712,0.37401714,77.97521086,0.1869836,1.30892218,71.05827981,12.34156946,12429.89175,83.58464295,219205.0096,47327.9085,0.56095079,2.43084986,1
TCGA.B8.5545.01,1705.158893,9.4393656,4.567556,211.3179285,0.9135425,3.3494248,100.7878351,16.747601,10885.71648,94.089977,155977.6624,25426.51108,0.6090055,3.0448887,1
TCGA.B0.4834.01,285.1378804,3.8756942,2.7684268,16.6107124,2.2147495,1.1073063,13.2885941,7.1977866,6346.225468,11.0734671,154660.8662,27831.27725,418.8283246,1.6609977,1
TCGA.CZ.5469.01,2489.430013,73.7880372,0.2526644,42.2021538,3.5379852,1.2634487,131.6572887,14.6566111,4157.465088,73.0295975,61548.36042,47408.79698,1.5162346,4.0432289,1
TCGA.CZ.5452.01,1149.692507,17.7994078,0.8090845,129.8547997,1.2135517,3.2362475,300.1603536,11.3269836,9151.146273,62.7032745,67091.16634,26807.73656,0.4045422,6.8767473,1
TCGA.CJ.5689.01,1466.613303,7.0631221,4.5405924,232.0749239,1.5135478,1.5135478,82.2366974,21.693847,7736.011806,48.9377792,172236.5441,34049.46958,0.5045166,2.5225316,1
TCGA.CZ.5451.01,500.0499375,7.4635073,1.0661761,42.1156393,1.0661761,2.665522,147.9396327,15.9935784,9850.402055,42.382178,293346.9201,46946.87164,1.0661858,3.9981701,1
TCGA.B0.5085.01,919.3540885,4.6299502,1.9842199,80.6906703,0.3307135,1.65357,159.4018156,18.8506019,15311.99036,47.2910052,201020.9866,33335.39788,5.622005,6.2835784,1
TCGA.EU.5904.01,1001.886064,12.654339,3.1081396,180.487221,1.7760751,2.4418645,119.4381112,19.0921491,17689.99639,51.0605915,226627.9131,40288.54246,0.2219625,6.4378387,1
TCGA.CJ.4889.01,1648.891186,10.7723596,3.9497063,238.0682423,1.4363376,6.1041092,107.363162,17.9543959,11997.88103,55.6586597,263516.0361,25231.64895,0.3590514,1.7953652,1
TCGA.BP.4789.01,953.2626365,5.0985552,2.631557,83.8763132,0.4933993,1.3157784,67.1007019,18.4203204,15930.42239,30.4262007,389011.9831,28273.49552,0.3289828,3.2892561,1
TCGA.B8.4153.01,558.0401853,5.5109039,0.2396218,57.9852711,0.2396218,2.1565829,138.0144759,25.638626,15090.11196,23.7218798,186339.6093,48352.74843,4.5526917,3.8337656,1
TCGA.CJ.6030.01,1641.57731,7.4380659,2.2314366,267.3999446,2.2314366,1.487572,241.3612371,18.9676458,9734.287225,87.396353,109841.39,26435.82779,0.3719235,3.3472408,1
TCGA.B0.4816.01,1105.706737,4.9649894,2.9790828,272.3239597,0.496488,1.4894885,92.3497732,17.87348,9537.154755,52.3818873,180587.5039,33474.63901,0.248244,2.2341801,1
TCGA.B8.5551.01,4010.386022,16.8203241,4.0048172,278.3281872,1.6019622,2.002286,122.9474993,19.2224751,7335.044088,138.9640548,52280.04731,32961.25026,0.8009185,6.4074743,1
TCGA.DV.5566.01,4664.33337,12.7138663,2.7489393,187.2708464,2.061654,3.4361324,215.102769,21.9917074,14956.63825,40.2035251,153911.5518,68877.33822,1.3744695,9.621367,1
TCGA.EU.5906.01,1377.78578,3.6432119,1.324808,92.7349607,2.980846,0.9935243,90.7482431,17.8845073,16071.08384,48.3539013,204003.7071,47147.51272,2.6496827,2.9809148,1
TCGA.B8.4146.01,1297.42605,6.4513181,119.9766454,97.4875095,5.734423,1.4335477,174.9052357,20.7877196,13467.28966,37.9906869,155426.2367,49279.46415,1.4335477,10.0353152,1
