miRNA,has_miR_3065_5p,has_miR_19a_3p,has_miR_3130_5p,has_miR_101_3p,Class Labels
TCGA.CJ.4870.01,1504.540805,7.088074235,0.12654114,20495.30424,1
TCGA.B4.5832.01,2453.286661,14.7630571,16.55252036,6499.691647,1
TCGA.CW.6088.01,2527.471957,17.63650356,1.259823287,15837.51948,1
TCGA.B2.5636.01,926.5195281,5.452532786,1.031658509,10829.09962,1
TCGA.CJ.6027.01,1144.667921,14.60933333,3.437372246,6380.774041,1
TCGA.B0.5695.01,2080.83854,12.53522721,0.83566144,17856.13691,1
TCGA.3Z.A93Z.01,1459.525212,15.28241929,1.802555101,13079.52373,1
TCGA.B2.5633.01,1064.502333,9.267764642,2.31698032,9831.080916,1
TCGA.B0.5692.01,666.8150083,12.33452287,1.54177711,13769.82124,1
TCGA.B2.A4SR.01,1488.131666,16.79111493,0,23478.90605,1
TCGA.B0.4710.01,1897.876687,34.94173502,3.918691949,12673.57411,1
TCGA.B0.4698.01,504.6523125,65.00830973,0.604695985,3895.980868,1
TCGA.BP.4982.01,994.3779541,6.871493737,0.715790921,12011.18168,1
TCGA.B0.4833.01,486.3553824,33.5723312,0,10686.16813,1
TCGA.BP.4761.01,644.2223163,17.9211968,10.26726252,6832.567912,1
TCGA.B0.5088.01,464.4281022,43.26139307,3.97775286,13003.50827,1
TCGA.BP.4960.01,864.5628925,7.844368455,1.484103994,9992.885218,1
TCGA.DV.5569.01,2000.387904,25.7032043,6.705257821,11573.40184,1
TCGA.B4.5843.01,2137.701414,21.79772575,2.421764692,13755.36446,1
TCGA.B0.5691.01,1200.249525,10.19295248,1.169733545,17146.17843,1
TCGA.DV.5576.01,1234.071274,5.276536272,1.319134675,5765.224587,1
TCGA.BP.4340.01,676.206638,6.275851679,0,7824.934585,1
TCGA.CZ.5465.01,2408.364518,28.45026913,0.431075711,19534.5236,1
TCGA.B0.5400.01,1689.48502,11.0162313,4.00594401,7774.524839,1
TCGA.CW.5583.01,809.2103428,7.877221211,0.358015551,14662.6284,1
TCGA.B0.4818.01,1484.235647,17.8433134,16.35821269,10765.73984,1
TCGA.CW.5587.01,803.5262742,7.689436107,0.295761322,11841.25698,1
